Distance Group ,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Timestamp,Sample Location,Sample Type,,,,
Mid,03/24/2003 12:00 PM,6,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104242,NULL,0.001,03/24/2003 12:00 PM,'---,,,,,
Mid,07/26/2004 12:00 PM,2.12,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104239,,0.001,07/26/2004 11:00 AM,'---,,,,,
Mid,08/24/2004 3:05 PM,0.94,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),04SWE02174,04SWE02174,,08/24/2004 2:05 PM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,07/22/2005 12:00 PM,2.69,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104236,NULL,0.001,07/22/2005 11:00 AM,'---,,,,,
Mid,09/14/2006 12:00 PM,1.43,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104233,,0.001,09/14/2006 11:00 AM,'---,,,,,
Mid,08/23/2007 9:45 AM,0.514,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),07SWE02704,07SWE02704,,08/23/2007 8:45 AM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,09/11/2007 12:00 PM,1,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,<,µg/l,1849,Alberta Research Council,104230,,0.001,09/11/2007 11:00 AM,'---,,,,,
Mid,09/05/2008 12:15 PM,1.31,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),08SWE03960,08SWE02165,,09/05/2008 11:15 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,03/17/2009 9:25 AM,0.858,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,"ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY",09SWE00382,09SWE00382-01,,03/17/2009 8:25 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/17/2009 4:15 PM,1.18,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),09SWE00811,09SWE00715,,08/17/2009 3:15 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/18/2009 12:00 PM,1,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,<,µg/l,1849,Alberta Research Council,104227,,0.001,09/18/2009 11:00 AM,'---,,,,,
Mid,08/31/2010 3:45 PM,1.03,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),10SWE01442,10SWE01443,1,08/31/2010 2:45 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/01/2011 8:30 AM,2.11,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),11SWE06688,11SWE06689,1,09/01/2011 7:30 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/10/2011 12:00 PM,1.3,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106085,,0.001,09/10/2011 11:00 AM,'---,,,,,
Mid,08/26/2012 3:45 PM,1.06,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),12SWE02081,12SWE02082,1,08/26/2012 2:45 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/08/2012 12:00 PM,1,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106088,,0.001,09/08/2012 11:00 AM,'---,,,,,
