Distance Group,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Unit Symbol
Mid,03/24/2003 12:00 PM,6.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/26/2004 12:00 PM,2.12,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/24/2004 03:05 PM,0.94,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/22/2005 12:00 PM,2.69,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/14/2006 12:00 PM,1.43,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/23/2007 09:45 AM,0.514,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/11/2007 12:00 PM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/05/2008 12:15 PM,1.31,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/17/2009 09:25 AM,0.858,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/17/2009 04:15 PM,1.18,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/18/2009 12:00 PM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/31/2010 03:45 PM,1.03,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/01/2011 08:30 AM,2.11,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/10/2011 12:00 PM,1.3,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/26/2012 03:45 PM,1.06,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/08/2012 12:00 PM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/28/2013 01:10 PM,2.67,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/07/2013 12:00 PM,4.72,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2014 04:00 PM,1.07,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/11/2014 12:00 PM,1.04,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/29/2015 07:30 AM,1.6,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/15/2016 12:00 PM,1.17,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/19/2016 12:00 PM,2.44,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/26/2016 11:45 AM,2.16,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/20/2016 12:00 PM,1.4,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/13/2017 12:00 PM,1.19,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/25/2017 07:45 AM,1.3,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/18/2020 10:40 AM,1.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/18/2021 03:15 PM,2.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,09/16/2022 07:20 AM,16.0,,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,03/24/2003 12:00 PM,,19.4,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/26/2004 12:00 PM,,17.8,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/24/2004 03:05 PM,,12.7,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,07/22/2005 12:00 PM,,23.2,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/30/2005 08:55 AM,,14.0,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
Mid,08/23/2006 12:00 PM,,20.8,,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,µg/l
